order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,completeness,consistency,validity,accuracy,final_label, notes 
2e7a8482f6fb09756ca50c10d7bfc047,08c5351a6aca1c1589a38f244edeee9d,shipped,4/9/2016 21:15,7/10/2016 13:18,18/10/2016 13:14,,20/10/2016 0:00,1 ,0 ,0,1 ,0 , Too long approval time 
6eace5a496456d346454761a9fc00dd2,ba5642b730704dc0f74b7cf715b41ed5,delivered,13/8/2018 15:17,20/8/2018 9:21,14/8/2018 14:47,23/8/2018 11:03,10/9/2018 0:00, 1 ,0 ,0, 1 ,0 , Too long approval time 
920a775204d54696910a3056ff090942,81bebc06bc7bb674fa6353451be2a23b,delivered,30/5/2018 21:13,5/6/2018 3:50,5/6/2018 14:06,10/7/2018 16:51,23/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
920a775204d54696910a3056ff090942,81bebc06bc7bb674fa6353451be2a23b,delivered,30/5/2018 21:13,5/6/2018 3:50,5/6/2018 14:06,10/7/2018 16:51,23/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
60e973e2a18fd001d175e5bdd83a2e2f,b58fbf23126951dc9923dac0a51e0dbe,delivered,20/4/2018 17:07,24/4/2018 18:13,24/4/2018 18:18,27/4/2018 18:58,17/5/2018 0:00, 1 ,1 ,0, 1 ,1 ,
9a2b443dc8e6673e4fc330b3ea033569,20c93357daf05d1c3a092be59aea2c2b,delivered,13/4/2018 10:09,17/4/2018 5:50,17/4/2018 16:54,23/4/2018 23:22,8/5/2018 0:00, 1 ,1 ,0, 1 ,1 ,
bc14a141bbb47b18a33d0a1747cab119,80cd6471cc015cdc037bb17791e1ccc6,delivered,17/8/2018 9:51,21/8/2018 4:55,21/8/2018 15:54,24/8/2018 17:33,28/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
bc14a141bbb47b18a33d0a1747cab119,80cd6471cc015cdc037bb17791e1ccc6,delivered,17/8/2018 9:51,21/8/2018 4:55,21/8/2018 15:54,24/8/2018 17:33,28/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
bc14a141bbb47b18a33d0a1747cab119,80cd6471cc015cdc037bb17791e1ccc6,delivered,17/8/2018 9:51,21/8/2018 4:55,21/8/2018 15:54,24/8/2018 17:33,28/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
bc14a141bbb47b18a33d0a1747cab119,80cd6471cc015cdc037bb17791e1ccc6,delivered,17/8/2018 9:51,21/8/2018 4:55,21/8/2018 15:54,24/8/2018 17:33,28/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
bc14a141bbb47b18a33d0a1747cab119,80cd6471cc015cdc037bb17791e1ccc6,delivered,17/8/2018 9:51,21/8/2018 4:55,21/8/2018 15:54,24/8/2018 17:33,28/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
bc14a141bbb47b18a33d0a1747cab119,80cd6471cc015cdc037bb17791e1ccc6,delivered,17/8/2018 9:51,21/8/2018 4:55,21/8/2018 15:54,24/8/2018 17:33,28/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
1329f69c4d3811f5a7bc6be850089a0d,840b47362264dfde96bdc04f1d702d0c,delivered,27/7/2018 11:30,31/7/2018 4:31,31/7/2018 15:17,6/8/2018 16:32,29/8/2018 0:00, 1 ,1 ,0, 1 ,1 ,
430227c0d7f4c842813ccd5e0801e17d,2d5d432f3d019335618910f2def0fbb8,delivered,11/5/2018 13:30,15/5/2018 4:52,16/5/2018 14:29,23/5/2018 21:33,12/6/2018 0:00, 1 ,1 ,0, 1 ,1 ,
4d8f7c7261c4de9e113b8d390125fdcb,e5fbe24aa488ae15c28edef16efd1a4c,delivered,26/2/2017 14:14,2/3/2017 3:42,3/3/2017 17:00,9/3/2017 4:57,20/3/2017 0:00, 1 ,1 ,0, 1 ,1 ,
adf1d1f9f725c103056bae5f78d77513,e7aa8f71ce6a66684f90103ab313cfd1,delivered,13/10/2017 15:32,17/10/2017 3:56,19/10/2017 15:48,25/10/2017 21:04,31/10/2017 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
adf1d1f9f725c103056bae5f78d77513,e7aa8f71ce6a66684f90103ab313cfd1,delivered,13/10/2017 15:32,17/10/2017 3:56,19/10/2017 15:48,25/10/2017 21:04,31/10/2017 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
b0cefae8126a97c2348f53ba5aebd506,e1028380a416953a189b17d94ff1896e,delivered,24/11/2017 6:13,27/11/2017 11:35,27/11/2017 20:40,2/12/2017 12:03,19/12/2017 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
b0cefae8126a97c2348f53ba5aebd506,e1028380a416953a189b17d94ff1896e,delivered,24/11/2017 6:13,27/11/2017 11:35,27/11/2017 20:40,2/12/2017 12:03,19/12/2017 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
865e82f5110c9e32b37dc8909994c6da,6d3c3278aac44c028da7a4cade667b41,delivered,11/2/2018 12:01,14/2/2018 17:08,16/2/2018 21:13,26/2/2018 10:29,7/3/2018 0:00, 1 ,1 ,0, 1 ,1 ,
15565710182cd35455ee0abf4b701ea9,5e7bb90d4342e8086e9a9acc1360a1e0,delivered,17/2/2018 8:27,20/2/2018 7:27,23/2/2018 23:14,2/3/2018 23:29,16/3/2018 0:00, 1 ,1 ,0, 1 ,1 ,
e2ae0065226927a2f9a53f2f05b12c72,17e8bd2e948117e1412cada1efec067a,delivered,2/7/2018 20:31,5/7/2018 16:14,17/7/2018 10:28,24/7/2018 0:21,27/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
e2ae0065226927a2f9a53f2f05b12c72,17e8bd2e948117e1412cada1efec067a,delivered,2/7/2018 20:31,5/7/2018 16:14,17/7/2018 10:28,24/7/2018 0:21,27/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
e2ae0065226927a2f9a53f2f05b12c72,17e8bd2e948117e1412cada1efec067a,delivered,2/7/2018 20:31,5/7/2018 16:14,17/7/2018 10:28,24/7/2018 0:21,27/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
e2ae0065226927a2f9a53f2f05b12c72,17e8bd2e948117e1412cada1efec067a,delivered,2/7/2018 20:31,5/7/2018 16:14,17/7/2018 10:28,24/7/2018 0:21,27/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
e2ae0065226927a2f9a53f2f05b12c72,17e8bd2e948117e1412cada1efec067a,delivered,2/7/2018 20:31,5/7/2018 16:14,17/7/2018 10:28,24/7/2018 0:21,27/7/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
91de6d82a66a52cbc3286556438b4705,f1a09318e72e9fb52681f649ff77926c,delivered,16/3/2018 21:56,19/3/2018 17:15,20/3/2018 20:03,20/4/2018 18:58,12/4/2018 0:00, 1 ,0 ,0,0 ,0 , Too long approval time 
91de6d82a66a52cbc3286556438b4705,f1a09318e72e9fb52681f649ff77926c,delivered,16/3/2018 21:56,19/3/2018 17:15,20/3/2018 20:03,20/4/2018 18:58,12/4/2018 0:00, 1 ,0 ,0,0 ,0 , Too long approval time 
6bf198e21fd4b87c035d4e94da5d1f85,42e89706e18b5cd161f33ded3e9b379e,delivered,15/7/2017 10:40,18/7/2017 5:50,20/7/2017 19:13,2/8/2017 17:32,14/8/2017 0:00, 1 ,1 ,0, 1 ,1 ,
b8b632a58abdbcc69a744281a630ecd8,87109c0a75a724d931893a7a0ec90d06,delivered,5/5/2018 9:51,8/5/2018 3:52,8/5/2018 16:11,11/5/2018 20:44,23/5/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
b8b632a58abdbcc69a744281a630ecd8,87109c0a75a724d931893a7a0ec90d06,delivered,5/5/2018 9:51,8/5/2018 3:52,8/5/2018 16:11,11/5/2018 20:44,23/5/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
482e206fff82661add35d3aeab19fd93,22751df9d8e0530108d0997313791666,delivered,14/7/2018 15:26,17/7/2018 7:31,18/7/2018 15:16,23/7/2018 14:26,1/8/2018 0:00, 1 ,1 ,0,0 ,0 , Too long approval time 
