order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
431018542d8303268a574ea80da4cfb5,99a5a40178ddd41b526250426a60f363,delivered,2017-05-26 14:26:53,2017-05-26 14:42:33,2017-06-01 13:57:44,2017-06-14 16:07:43,2017-06-26 00:00:00
982477fb4aaaa4ce97851852d2a28e90,bf573f9422c8f6b435a16123951aa62d,delivered,2017-12-16 22:40:37,2017-12-16 22:51:00,2017-12-19 00:13:33,2018-02-15 20:28:40,2018-01-12 00:00:00
8526a9a3883c882acce72e212f5b2d17,12943cd75dff4407f19eaf7b7dd80d20,delivered,2018-06-16 17:08:36,2018-06-16 17:18:11,2018-06-18 15:03:00,2018-06-21 23:06:40,2018-07-26 00:00:00
fc3eb1dcbbc011d4693b4efc280fc462,8ead9cc614e48a395252b1825a9bbe71,delivered,2017-09-30 02:38:39,2017-09-30 02:56:07,2017-10-02 20:49:59,2017-10-05 21:35:53,2017-10-25 00:00:00
222fd80282b4b53ba4affcabaaea6b31,7d2e9de299e7087ef52d931eae2f2345,delivered,2017-05-10 09:00:07,2017-05-10 09:10:17,2017-05-12 08:43:28,2017-05-22 13:39:38,2017-06-07 00:00:00
f28d2797b047549663f2e82b4afbdc1e,fa60dc846cc1ab755dd1768fc500b400,delivered,2017-04-06 18:47:46,2017-04-06 18:55:12,2017-04-10 14:24:52,2017-04-12 08:22:43,2017-05-19 00:00:00
bbb0e248cd5ad3480165a7ed356a9d1b,438fcfe9666d1e6d343db1a978811313,delivered,2018-04-30 12:06:49,2018-05-03 03:53:09,2018-05-04 11:24:00,2018-05-05 18:03:48,2018-05-16 00:00:00
7122fa45d10437278bab815f67002798,f041c33fa5c382bf3eb1433270778594,delivered,2017-02-20 21:44:03,2017-02-20 21:55:11,2017-02-22 05:15:33,2017-02-23 11:30:12,2017-03-17 00:00:00
e46cadf63ee53cca6065ae0affdd1d83,bb63bb88b869f39f4334da43ec942775,delivered,2018-03-23 13:01:28,2018-03-23 13:15:23,2018-03-27 02:04:04,2018-04-03 16:03:21,2018-04-19 00:00:00
725cf8e9c24e679a8a5a32cb92c9ce1e,74be082247cd677a147d83ee670e9d53,delivered,2017-06-08 21:00:36,2017-06-08 21:15:16,2017-06-23 13:03:27,2017-07-06 09:22:00,2017-08-02 00:00:00
