,completeness_score,consistency_score,uniqueness_score,validity_score,accuracy_score,conformity_score,timeliness_score,integrity_score,schema_match_score,format_compliance_score,outlier_score,quality_score,quality_class
0,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
1,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
2,0.8571428571428571,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9478651685393258,HIGH
3,0.8571428571428571,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9478651685393258,HIGH
4,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
5,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
6,0.7857142857142857,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9335794542536116,HIGH
7,0.7857142857142857,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9335794542536116,HIGH
8,0.8571428571428571,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9478651685393258,HIGH
9,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
10,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
11,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
12,0.8571428571428571,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9478651685393258,HIGH
13,0.9285714285714286,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9621508828250402,HIGH
14,0.7857142857142857,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9335794542536116,HIGH
15,0.7857142857142857,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9335794542536116,HIGH
16,0.8571428571428571,1.0,1.0,1.0,0.8643659711075441,1.0,0.8,1.0,1.0,1.0,0.9463171036204744,0.9478651685393258,HIGH
